Date,Open,High,Low,Close,Adj Close,Volume
2017-10-19,215.399994,216.100006,214.130005,215.210007,175.112549,686600
2017-10-20,214.949997,215.199997,213.419998,215.089996,175.014877,845000
2017-10-23,215.360001,216.570007,214.020004,214.779999,174.762650,752800
2017-10-24,214.089996,214.750000,210.000000,210.110001,170.962738,1070800
2017-10-25,210.929993,211.470001,208.199997,210.000000,170.873230,1062400
2017-10-26,201.070007,206.000000,198.110001,204.210007,166.162048,2974400
2017-10-27,203.550003,207.639999,203.059998,206.899994,168.350815,1041400
2017-10-30,206.550003,208.949997,206.000000,208.750000,169.856155,796600
2017-10-31,208.750000,208.750000,206.720001,207.250000,168.635651,682100
2017-11-01,208.070007,208.070007,205.899994,206.520004,168.041672,691400
2017-11-02,206.949997,210.139999,206.669998,208.330002,169.514404,811700
2017-11-03,208.229996,209.559998,207.149994,208.970001,170.035217,759600
2017-11-06,209.490005,212.559998,209.009995,209.320007,170.319931,764300
2017-11-07,209.020004,212.289993,208.800003,211.490005,172.085648,882200
2017-11-08,211.759995,213.929993,211.279999,213.190002,173.468933,760300
2017-11-09,212.759995,213.570007,211.020004,211.369995,171.987991,532500
2017-11-10,211.110001,212.199997,209.179993,211.520004,172.110062,736600
2017-11-13,211.660004,213.889999,211.520004,213.250000,173.517685,609500
2017-11-14,212.429993,213.289993,211.440002,212.919998,173.249176,640900
2017-11-15,212.770004,213.899994,209.520004,210.050003,170.913940,795700
2017-11-16,209.380005,214.750000,209.259995,213.669998,173.859451,938600
2017-11-17,212.750000,213.740005,211.660004,211.850006,172.378571,681500
2017-11-20,211.809998,212.270004,210.770004,211.110001,171.776459,358400
2017-11-21,211.550003,211.550003,209.910004,211.320007,171.947342,683700
2017-11-22,210.649994,211.669998,209.309998,211.289993,171.922882,512000
2017-11-24,211.899994,213.289993,211.470001,212.789993,173.143402,257000
2017-11-27,213.429993,216.110001,212.729996,214.929993,174.884705,957800
2017-11-28,213.210007,213.860001,206.000000,209.429993,170.409424,1566800
2017-11-29,208.869995,211.750000,207.729996,210.259995,171.084793,827700
2017-11-30,210.710007,213.509995,209.770004,213.119995,173.411926,1257700
2017-12-01,213.970001,214.240005,211.600006,212.070007,172.557587,809800
2017-12-04,211.199997,213.009995,209.240005,209.970001,170.848862,1133000
2017-12-05,212.190002,212.630005,209.960007,211.050003,171.727615,676100
2017-12-06,211.199997,213.240005,210.669998,211.800003,172.337921,821300
2017-12-07,211.449997,211.589996,207.990005,208.339996,169.522537,815100
2017-12-08,208.699997,211.600006,208.250000,210.839996,171.556717,691000
2017-12-11,210.449997,211.710007,209.229996,211.679993,172.240250,721100
2017-12-12,209.679993,212.410004,209.639999,211.720001,173.915970,759700
2017-12-13,211.270004,213.000000,211.039993,212.559998,174.606018,730400
2017-12-14,212.089996,212.990005,210.429993,211.020004,173.340988,525800
2017-12-15,212.690002,212.710007,210.179993,211.559998,173.784515,1158900
2017-12-18,212.000000,215.449997,211.720001,212.089996,174.219894,823300
2017-12-19,212.100006,212.550003,207.869995,208.210007,171.032715,713500
2017-12-20,208.000000,208.850006,205.020004,205.149994,168.519135,801500
2017-12-21,205.899994,205.899994,203.610001,203.720001,167.344437,645000
2017-12-22,204.759995,206.570007,204.399994,205.970001,169.192673,500800
2017-12-26,206.570007,208.940002,206.550003,208.029999,170.884872,331700
2017-12-27,208.550003,209.539993,208.279999,209.279999,171.911667,379300
2017-12-28,209.119995,209.979996,208.100006,209.240005,171.878830,666700
2017-12-29,209.729996,210.550003,208.630005,209.000000,171.681656,620100
2018-01-02,210.050003,210.169998,205.580002,206.320007,169.480209,812300
2018-01-03,206.350006,207.660004,205.740005,206.770004,169.849854,580000
2018-01-04,205.899994,207.009995,202.570007,203.110001,166.843338,799600
2018-01-05,203.330002,204.039993,201.710007,201.919998,165.865814,644600
2018-01-08,202.089996,204.149994,201.940002,203.529999,167.188354,768600
2018-01-09,204.070007,204.199997,200.910004,201.149994,165.233337,659300
2018-01-10,199.669998,200.070007,195.300003,196.110001,161.093231,1133200
2018-01-11,196.800003,197.369995,195.009995,196.119995,161.101471,1093600
2018-01-12,196.020004,196.500000,193.399994,193.550003,158.990372,957400
2018-01-16,194.199997,198.429993,193.520004,193.750000,159.154648,1034200
2018-01-17,194.800003,197.020004,194.440002,195.690002,160.748245,737900
2018-01-18,195.119995,195.679993,192.600006,193.250000,158.743896,1241000
2018-01-19,193.910004,194.500000,192.699997,193.559998,158.998566,646100
2018-01-22,194.139999,194.619995,192.509995,193.779999,159.179276,909600
2018-01-23,194.000000,198.550003,193.559998,198.089996,162.719681,982000
2018-01-24,197.820007,198.009995,194.309998,194.919998,160.115723,687000
2018-01-25,194.000000,194.779999,190.820007,192.570007,158.185318,855500
2018-01-26,193.270004,193.679993,190.699997,192.850006,158.415359,1083200
2018-01-29,192.500000,192.929993,190.149994,192.539993,158.160675,1121900
2018-01-30,192.539993,194.289993,190.259995,193.600006,159.031387,1535500
2018-01-31,193.490005,195.759995,191.880005,195.759995,160.805710,2749400
2018-02-01,196.100006,196.580002,190.710007,190.979996,156.879227,1125600
2018-02-02,190.100006,191.949997,188.389999,190.309998,156.328888,974000
