Date,Open,High,Low,Close,Adj Close,Volume
2017-10-19,137.419998,139.000000,137.050003,138.389999,125.059364,2090600
2017-10-20,138.779999,140.229996,138.199997,139.070007,125.673882,1860900
2017-10-23,138.630005,139.250000,137.740005,138.750000,125.384689,1556900
2017-10-24,139.000000,139.070007,137.210007,138.029999,124.734039,1875300
2017-10-25,137.669998,138.130005,136.600006,137.330002,124.101463,1209900
2017-10-26,138.059998,139.240005,137.410004,138.449997,125.113602,1692700
2017-10-27,139.289993,140.139999,138.149994,139.029999,125.637726,1556200
2017-10-30,138.759995,144.800003,138.410004,142.869995,129.107834,5117800
2017-10-31,139.919998,144.330002,138.300003,143.669998,129.830750,2999200
2017-11-01,144.250000,144.660004,140.389999,140.809998,127.246284,2819200
2017-11-02,140.649994,142.960007,140.520004,142.440002,128.719208,1367600
2017-11-03,141.830002,142.410004,140.229996,142.100006,128.412018,1577200
2017-11-06,145.039993,150.960007,144.960007,150.160004,135.695587,3936600
2017-11-07,149.990005,150.789993,146.830002,150.660004,136.147446,2504600
2017-11-08,150.300003,155.279999,150.149994,152.720001,138.008987,2334800
2017-11-09,151.800003,153.009995,150.559998,151.820007,137.195709,1892100
2017-11-10,151.330002,151.800003,148.460007,150.539993,136.039001,1537200
2017-11-13,151.270004,152.800003,148.619995,150.039993,135.587143,2453000
2017-11-14,150.050003,150.970001,148.339996,149.490005,135.090164,1854500
2017-11-15,149.550003,149.839996,146.800003,148.929993,134.584061,1631500
2017-11-16,149.889999,150.169998,147.830002,148.399994,134.105148,2014000
2017-11-17,147.970001,148.850006,145.570007,145.869995,131.818802,2055000
2017-11-20,146.350006,147.190002,145.630005,146.220001,132.135117,1703500
2017-11-21,146.380005,147.300003,145.639999,146.589996,132.469498,1925500
2017-11-22,146.380005,146.869995,145.000000,145.309998,131.312775,1694700
2017-11-24,145.759995,147.660004,145.419998,147.300003,133.111099,887600
2017-11-27,147.509995,149.309998,147.509995,148.229996,133.951492,1489000
2017-11-28,148.580002,149.479996,147.160004,148.639999,134.322021,2373100
2017-11-29,148.470001,148.789993,145.710007,146.300003,132.207413,2197400
2017-11-30,146.720001,147.089996,142.529999,143.929993,130.065720,4200400
2017-12-01,144.220001,145.149994,141.669998,143.610001,129.776550,2009500
2017-12-04,143.720001,144.389999,138.960007,138.970001,125.583519,2238600
2017-12-05,140.630005,141.320007,138.580002,140.759995,127.201080,1734100
2017-12-06,140.419998,142.330002,140.139999,141.800003,128.140884,1113700
2017-12-07,142.750000,144.539993,141.500000,144.110001,130.228348,2174500
2017-12-08,144.500000,144.919998,142.270004,142.470001,128.746399,1698500
2017-12-11,144.190002,144.509995,141.460007,144.050003,130.174179,2274700
2017-12-12,144.160004,145.600006,143.169998,143.509995,129.686172,1859300
2017-12-13,143.479996,145.589996,143.479996,143.729996,129.884995,1726400
2017-12-14,143.740005,145.009995,143.580002,143.639999,129.803619,2114700
2017-12-15,143.789993,144.779999,141.940002,142.759995,129.008438,3648600
2017-12-18,143.649994,143.649994,142.009995,142.839996,129.080673,2027600
2017-12-19,143.009995,143.949997,141.750000,141.860001,128.195129,2284700
2017-12-20,142.000000,142.259995,140.020004,140.190002,126.685966,2576500
2017-12-21,140.250000,141.210007,139.410004,139.610001,126.161842,2580000
2017-12-22,140.199997,141.089996,138.520004,140.660004,127.110741,3069100
2017-12-26,140.210007,141.770004,139.929993,140.910004,127.336639,824500
2017-12-27,140.610001,142.250000,140.339996,141.559998,128.562698,1014500
2017-12-28,141.649994,143.320007,141.550003,142.910004,129.788727,1784800
2017-12-29,143.160004,143.509995,142.500000,142.669998,129.570770,1129500
2018-01-02,143.160004,143.220001,140.910004,141.130005,128.172134,1880600
2018-01-03,141.050003,142.500000,140.860001,141.679993,128.671661,1770500
2018-01-04,141.440002,141.960007,139.580002,139.610001,126.791725,1729600
2018-01-05,140.229996,140.699997,139.589996,140.509995,127.609093,2119400
2018-01-08,140.660004,143.240005,140.660004,142.009995,128.971344,1882100
2018-01-09,142.100006,142.250000,140.860001,141.050003,128.099472,1581600
2018-01-10,140.410004,140.600006,136.029999,137.610001,124.975342,3330500
2018-01-11,138.000000,138.009995,134.509995,134.970001,122.577736,3244000
2018-01-12,135.389999,135.500000,132.539993,133.000000,120.788582,3197300
2018-01-16,133.240005,138.000000,133.240005,135.630005,123.177139,3193900
2018-01-17,136.119995,137.160004,135.550003,136.639999,124.094376,1999700
2018-01-18,136.580002,136.669998,134.720001,135.190002,122.777527,3416400
2018-01-19,135.899994,137.679993,134.750000,137.619995,124.984406,3284700
2018-01-22,137.690002,139.240005,137.410004,139.240005,126.455681,1826700
2018-01-23,139.509995,141.440002,139.199997,141.199997,128.235733,2923400
2018-01-24,141.100006,142.679993,141.009995,141.759995,128.744293,3061500
2018-01-25,142.460007,143.059998,141.500000,142.960007,129.834167,2409500
2018-01-26,143.139999,145.139999,142.839996,145.130005,131.804901,2107900
2018-01-29,144.899994,145.990005,143.679993,144.330002,131.078339,3901700
2018-01-30,143.880005,145.660004,142.839996,145.149994,131.823044,2440000
2018-01-31,145.410004,148.839996,145.240005,147.699997,134.138885,3184700
2018-02-01,148.020004,149.360001,146.539993,147.059998,133.557693,2351000
2018-02-02,146.440002,146.740005,144.229996,145.220001,131.886612,2474600
2018-02-05,144.139999,146.289993,141.770004,142.039993,128.998581,3000900
