Date,Open,High,Low,Close,Adj Close,Volume
2009-03-09,23.268547,26.721239,23.268547,26.637707,15.729569,15073000
2009-03-10,27.194592,31.176325,26.312857,31.139200,18.387699,18969274
2009-03-11,31.816744,31.816744,29.375729,30.071835,17.757418,13028487
2009-03-12,29.338602,33.246082,29.338602,33.088299,19.538647,12373524
2009-03-13,33.320335,33.784409,31.092793,32.234409,19.034426,11115528
2009-03-16,32.540695,33.283211,28.920938,29.236506,17.264162,10246912
2009-03-17,29.682014,31.464050,27.890699,31.399080,18.541162,13163488
2009-03-18,31.102074,33.143990,29.700579,32.837700,19.390667,14784574
2009-03-19,33.366741,34.202072,31.556864,31.909557,18.842600,12538584
2009-03-20,29.793392,31.677523,29.505669,30.443092,17.976650,26813000
2009-03-23,31.631117,36.689495,30.925728,36.290394,21.429476,19121621
2009-03-24,35.380814,35.937698,32.345787,32.670635,19.292013,15724947
2009-03-25,33.385307,33.914349,29.654171,32.438599,19.154995,15558270
2009-03-26,33.014050,34.341293,31.306265,34.137100,20.157965,15269090
2009-03-27,32.911953,33.218239,31.027822,31.232014,18.442505,10053084
2009-03-30,30.118242,30.443092,28.261955,28.642494,16.913397,12214281
2009-03-31,29.060160,32.596382,29.013752,32.150875,18.985094,17360578
2009-04-01,31.287703,31.566145,30.220339,30.860758,18.223280,11018560
2009-04-02,32.020935,34.861053,31.306265,34.313450,20.262091,16160763
2009-04-03,33.673031,38.332310,33.561653,38.332310,22.635235,17069244
2009-04-06,37.079315,38.452969,36.188297,37.422729,22.098122,12148235
2009-04-07,36.206860,36.559555,33.236801,33.320335,19.675667,13079341
2009-04-08,33.905067,34.573330,32.949078,34.276321,20.240173,11236845
2009-04-09,35.789196,40.142185,35.649975,39.900871,23.561468,16100751
2009-04-13,39.074821,40.494881,37.636200,39.585300,23.375118,11568906
2009-04-14,38.090992,39.139793,35.269436,35.798477,21.139009,13134074
2009-04-15,36.364643,41.033203,35.882011,40.838295,24.115015,16733412
2009-04-16,40.699074,46.091583,39.418236,43.854759,25.896244,19380094
